#ñ塤ᮭ塱 Ѵ ϔԠ(doordata.txt).

#name;id;x;y;z;type;filePath;mapX;mapY

#thrones
gludio_castle_throne;19210010;-18112;108761;-2492;1;none;0;0
dion_castle_throne;20220010;22073;160989;-2686;1;none;0;0
oren_castle_throne;22190010;83237;37192;-2286;1;none;0;0
giran_castle_throne;23220010;117161;145097;-2559;1;none;0;0
aden_castle_throne;24180017;147456;3272;-42;1;none;0;0
innadrile_castle_throne;23250010;116024;249768;-782;1;none;0;0
godad_castle_throne;24160024;147462;-49342;-2132;1;none;0;0
schuttgart_castle_throne;22130016;77551;-153410;-389;1;none;0;0
rune_castle_throne;20160010;10103;-49153;-272;1;none;0;0

#signboards
#texture_name=[town_map.town_map_talking_t00]
town_map_talking_1;17250001;-82873;244808;-3717;2;town_map.town_map_talking_t00;365;152
town_map_talking_2;17250002;-82765;241438;-3718;2;town_map.town_map_talking_t00;164;154
town_map_talking_3;17250003;-86121;241452;-3719;2;town_map.town_map_talking_t00;146;358

#texture_name=[town_map.town_map_elf_t00]
town_map_elf_1;21190001;47615;51349;-2967;2;town_map.town_map_elf_t00;430;315
town_map_elf_2;21190002;45914;46695;-2968;2;town_map.town_map_elf_t00;248;106
town_map_elf_3;21190003;43175;51424;-2967;2;town_map.town_map_elf_t00;110;345

#texture_name=[town_map.town_map_darkelf_t00]
town_map_darkelf_1;20180001;15258;15630;-4366;2;town_map.town_map_darkelf_t00;339;170
town_map_darkelf_2;20180002;7556;18054;-4366;2;town_map.town_map_darkelf_t00;54;315

#texture_name=[town_map.town_map_orc_t00]
town_map_orc_1;18140001;-45824;-116763;-219;2;town_map.town_map_orc_t00;265;120
town_map_orc_2;18140002;-46504;-110394;-220;2;town_map.town_map_orc_t00;138;413
town_map_orc_3;18140003;-47332;-113245;-220;2;town_map.town_map_orc_t00;141;235

#texture_name=[town_map.town_map_dwarf_t00]
town_map_dwarf_1;23120001;115462;-177294;-880;2;town_map.town_map_dwarf_t00;165;386
town_map_dwarf_2;23120002;117449;-182298;-1488;2;town_map.town_map_dwarf_t00;368;161
town_map_dwarf_3;23120003;116657;-183997;-1550;2;town_map.town_map_dwarf_t00;319;110

# PVP signboard
pvp_signboard_gl_1;17220015;-88696;142315;-3621;0;none;0;0
pvp_signboard_gl_2;17220016;-87136;142490;-3623;0;none;0;0
pvp_signboard_gi_1;22220001;73766;142489;-3748;0;none;0;0
pvp_signboard_gi_2;22220002;72200;143102;-3748;0;none;0;0
pvp_signboard_di_1;20230001;12110;182770;-3538;0;none;0;0
pvp_signboard_di_2;20230002;12978;183364;-3538;0;none;0;0
